English,Afrikaans,Arabic,Latin,Belarusian,Bulgarian,Catalan,Czech,Welsh,Danish,German,Greek,Esperanto,Spanish,Estonian,Basque,Farsi,Finnish,French,Galician,Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian,Japanese,Georgian,Kazakh,Kannada,Korean,Kyrgyz,Lithuanian,Latvian,Maori,FYRO Macedonian,Mongolian,Marathi,Malay,Maltese,Norwegian,Dutch,Punjabi,Polish,Pashto,Portuguese,Romanian,Russian,Slovak,Slovenian,Albanian,Swedish,Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Tatar,Ukrainian,Urdu,Syriac,Vietnamese,Xhosa,Chinese,Zulu
part,deel,جزء,qismən,частка,част,part,část,gwahanwyd,en del,Teil,μέρος,parto,parte,osa,banandu,قسمت,osa,partie,parte,ભાગ,חֵלֶק,अंश,dio,rész,մաս,bagian,hluti,parte,部,დანაწილება,бөлу,ಭಾಗ,부분,бөлүгү,dalis. \ T,daļa,wehe,or,хэсэг,भाग,bahagian.,parti,del,een deel,ਹਿੱਸਾ,część,يوه برخه,papel,parte,часть,časť,del,pjesë,del,sehemu.,பகுதி,భాగం,ส่วนหนึ่ง,Bahagi,Bölüm,өлеш,частина,حصہ,qism,phần,inxenye,部分,ingxenye
history,geskiedenis,التاريخ,tarix,гісторыя,История,història,Dějiny,hanes,historie,Geschichte,ιστορία,historio,historia,ajalugu,historia,تاریخ,historia,l'histoire,Historia,ઇતિહાસ,הִיסטוֹרִיָה,इतिहास,povijest,történelem,պատմություն,sejarah,saga,storia,歴史,ისტორია,Тарих,ಇತಿಹಾಸ,역사,тарых,istorija,vēsture,tāhuhu kōrero,Историја,түүх,इतिहास,Sejarah,Storja,historie,geschiedenis,ਇਤਿਹਾਸ,historia,تاریخ,história,istorie,история,história,Zgodovina,histori,historia,Historia,வரலாறு,చరిత్ర,ประวัติศาสตร์,Kasaysayan,Tarih,Тарих,історія,تاریخ,tarix,Môn lịch sử,Imbali,历史,umlando
search,Soek,بحث,axtarış,шукаць,Търсене,cerca,Vyhledávání,chwiliwyd,Søg,Suche,Αναζήτηση,Serĉi,búsqueda,otsing,araketa,جستجو کردن,Hae,chercher,Busca,શોધ,לחפש,तलाशी,traži,keresés,որոնել,Cari,leit.,ricerca,探す,ძებნა,іздеу,ಹುಡುಕಿ Kannada,검색,издөө,Paieška,Meklēt,rapu,пребарување,эрэл хайгуул хийх,शोध,cari,Fittex,Søk,zoekopdracht,ਖੋਜ,Szukaj,لټون,procurar,căutare,поиск,Vyhľadávanie,Iskanje,kërkim,Sök,Utafutaji,தேடல்,వెతకండి,ค้นหา,Search.,Ara,Эзләү,пошук,تلاش,qidirmoq,Tìm kiếm,ukukhankanya,搜索,sesha
Hello,Hallo,مرحبا,Salam,добры дзень,Здравейте,Hola,Ahoj,Helo,Hej,Hallo,γεια σας,Saluton,Hola,Tere,Agur,سلام,Hei,Bonjour,Ola.,નમસ્તે,שלום,नमस्ते,zdravo,Helló,Բարեւ Ձեզ,Halo,Halló,Ciao,こんにちは,გამარჯობა,Сәлеметсіз бе,ಹಲೋ,안녕하세요,салам,Sveiki,Sveiki,Ora,Здраво,Сайн уу,नमस्कार,Hello.,Bongu,Hallo,Hallo,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Witaj,سلام,Olá,Buna ziua,Привет,Ahoj,zdravo,Përshëndetje,Hej,Hello.,வணக்கம்,హలో,สวัสดี,Kamusta,Merhaba,Сәлам,Здрастуйте,ہیلو,Salom,xin chào,Mholweni,你好,Sawubona
police,polisie,شرطة,polis,паліцыя,Полиция,policia,policie,plismona ',politi,Polizei,αστυνομία,Polico,policía,politsei,polizia,پلیس,Poliisi,police,Policía,પોલીસ,מִשׁטָרָה,पुलिस,policija,rendőrség,ոստիկանություն,polisi,lögregla,Polizia Stradale,警察,პოლიცია,полиция,ಪೊಲೀಸರು,경찰,полиция,Policija,policija,pirihimana,полицијата,цагдаа,पोलिस,polis,Pulizija,politiet,politie,ਪੁਲਿਸ,Policja,پولیس,polícia,politie,полиция,polícia,Policija,polici,polis,Polisi.,காவல்,పోలీస్,ตำรวจ,Pulisya,polis,полиция,поліцейський,پولیس,politsiya,cảnh sát viên,Mapolisa,警察,iphoyisa
thought,gedink,فكر,fikirləşmək,думка,мисъл,pensament,myslel,meddwl,tanke,habe gedacht,σκέψη,pensis,pensó,mõte,pentsaera,فکر,ajatus,pensée,Pensamento,વિચારવું,מַחֲשָׁבָה,विचार,misao,gondolat,միտք,pikiran,hugsun,pensiero,考え,აზრი,ой,ವಿಚಾರ,생각,ой,Maniau,doma,whakaaro,мисла,бодол,विचार,difikirkannya,ħsibt,tenkte,gedachte,ਸੋਚਿਆ,myśl,فکر وکړ,pensamento,gând,мысль,myšlienka,mislil,mendim,trodde,walidhani.,சிந்தனை,ఆలోచన,คิด,naisip,düşünce,уй,подуманий,سوچا,o'ylamoq,tư tưởng,ingcinga,想法,umcabango
help,help,مساعدة,kömək etmək,дапамога,помогне,ajudar,Pomoc,chynorthwyaf,Hjælp,Hilfe,βοήθεια,Helpo,ayuda,aitama,laguntza,کمک,auta,aider,axuda,મદદ,עֶזרָה,मदद,Pomozite,Segítség,Օգնություն,Tolong,hjálp,aiuto,ヘルプ,დახმარება,Көмектесіңдер,ಸಹಾಯ,돕다,жардам,Pagalba,palīdzēt,āwhina,Помош,Туслаач,मदत,bantuan,għajnuna,hjelp,helpen,ਮਦਦ ਕਰੋ,Wsparcie,مرسته,ajuda,Ajutor,помощь,Pomoc,Pomoč,ndihmoj,hjälp,Msaada,உதவி,సహాయం,ช่วย,Tulong,Yardım Edin,Ярдәм итегез,довідка,مدد,Yordam bering,Cứu giúp,Nceda,帮助,Usizo
request,versoek,طلب,istək,просьба,запитване,sol·licitar,žádost,gais,anmodning,Anfrage,αίτηση,peto,solicitud,taotlus,eskatu,درخواست,pyyntö,demande,Solicitude,વિનંતી કરવી,בַּקָשָׁה,प्रार्थना,zahtjev,kérés,խնդրել,meminta,beiðni um,richiesta,リクエスト,თხოვნა,өтініш,ಕೋರಿಕೆ,요구,сурам,Prašymas,pieprasījums,tono,Барање,гүйлт,विनंती,permintaan,Talba,be om,verzoek,ਬੇਨਤੀ,wniosek,غوښتنه,solicitar,cerere,запрос,požiadavka,prošnja,kërkesë,begäran,Ombi,வேண்டுகோள்,అభ్యర్థన,ขอ,hiling,rica etmek,сорау,запит,درخواست,talab qilmoq,yêu cầu,isicelo,要求,nxusa
kind,tipe,طيب القلب,mehriban,добры,мил,amable,druh,caredig,venlig,Art,είδος,afabla,amable,lahke,maitagarri,نوع,ystävällinen,gentil,amable,પ્રકારની,סוג,मेहरबान,ljubazan,kedves,բարի,baik,góður,tipo,親切,კეთილი,ақ көңіл,ರೀತಿಯ,친절한,түрү,malonus,veids,atawhai,Вид,эелдэг,प्रकार,jenis,Kind,snill,vriendelijk,ਦਿਆਲੂ,uprzejmy,مهربان,Gentil,drăguț,своего рода,milý,prijazno,lloj,snäll,aina.,கருணை,రకం,ใจดี,uri,tür,игелекле,добрий,قسمت,mehribon,Tốt bụng,uhlobo,种类,-nomusa
month,maand,شهر,ay,месяц,месец,mes,Měsíc,mis,måned,Monat,μήνας,monato,mes,kuu,hil,ماه,kuukausi,mois,mes,માસ,חוֹדֶשׁ,महीना,mjesec,hónap,ամիս,bulan,mánuður,mese,月,თვე,ай,ತಿಂಗಳು,월,ай,mėnuo,mēnesis,marama,месец,сар,महिना,bulan,Xahar,måned,maand,ਮਹੀਨਾ,miesiąc,میاشت,mês,lună,месяц,mesiac,mesec,muaj,månad,mwezi,மாதம்,నెల.,เดือน,buwan,ay,ай,місяць,مہینہ,oy,tháng,inyanga,月,inyanga
brother,broer,شقيق,qardaş,брат,брат,germà,bratr,mrawd,bror,Bruder,αδελφός,Frato,hermano,vend,neba,برادر,veli,frère,Brother.,ભાઈ,אָח,भाई,brat,fiú testvér,եղբայր,saudara laki-laki,bróður,fratello,兄弟,ძმა,іні,ಸೋದರ,형제,бир тууган,brolis,brālis,tuakana,брат,ах,भाऊ,abang,aħwa,bror,broer,ਭਰਾ,brat,ورور,irmão,frate,родной брат,brat,Brat,vëlla,bror,Ndugu,சகோதரன்,సోదరుడు,พี่ชาย,kapatid na lalaki,Erkek kardeş,абый,брат,بھائی,aka,Anh trai,ubhuti,兄弟,umfowenu
let,verhuur,يترك,buraxmaq,дазваляць,позволявам,deixar,nechat,gadawent,lade,Lassen,αφήνω,lasu,dejar,lasta,utzi,اجازه دهید,päästää,laisser,let.,ભાવિ,תן,होने देना,pustiti,enged,թույլ տալ,membiarkan,Látum,permettere,させて,გაშვება,рұқсат ету,ಅವಕಾಶ,허락하다,болсун,leisti,ļaut,tuku,Нека,зөвшөөрөх,लिहा,beritahu,Let.,la,laat,ਕਰੀਏ,pozwalać,پرېږده,deixei,lăsa,позволять,nechať,pustiti,lë,låta,Hebu,விடு,వీలు,อนุญาต,Hayaan,İzin Vermek,рөхсәт ит,дозволяти,چلو,ijozat bering,cho phép,vumela,让,vumela
because,omdat,لأن,çünki,бо,заради,perquè,protože,oherwydd,fordi,weil,επειδή,Ĉar,porque,Sest,zeren ... bait,زیرا,koska,car,Por mor,કારણ કે,כי,चूंकि,jer,mivel,որովհետեւ,karena,vegna þess að,perché,なぜなら,იმიტომ რომ,сондықтан,ಏಕೆಂದರೆ,왜냐하면,анткени,Nes,jo,nō te mea,затоа што,тул,कारण,kerana.,Minħabba,fordi,omdat,ਕਿਉਂਕਿ,bo,ځکه,Porque,deoarece,так как,pretože,Ker,sepse,eftersom,Kwa sababu,ஏனெனில்,ఎందుకంటే,เพราะ,dahil,Çünkü,чөнки,тому що,کیونکہ,chunki,bởi vì,kuba,因为,ngokuba
to put,om te sit,لوضع,qoymaq,паставіць,да се постави,posar,dát,i rhoi,at sætte,stellen,να βαλω,meti,poner,panema,jarri,گذاشتن,laittaa,mettre,poñer,મૂકવો,לשים,रखना,staviti,rakni,դնել,untuk menempatkan,að setja,mettere,置く,დადება,қою,ಹಾಕಲು,놓다,коюу,padėti,ielikt,kia tuu,да стави,тавих,ठेवणे,untuk letak,tpoggi,å legge,om te zetten,ਪਾਉਣ ਲਈ,położyć,اړول,colocar,a pune,положить,položiť,položiti,te vendosesh,att lägga,kuweka,வைக்க வேண்டும்,ఉంచాలి,ที่จะนำ,upang ilagay,koymak,куярга,класти,ڈالنے کے لئے,qo'ymoq,để đặt,ukubeka,放在,ukubeka
no,geen,رقم,yox,не,не,no,Ne,na,ingen,Nein,όχι,ne,No,mitte,ez-,نه,ei,non,Non,ના,לא,नहीं,Ne,nem,ոչ,tidak,Nei,no,いいえ,არა,жоқ,ಇಲ್ಲ,아니요,жок,ne.,Nē,kāo,Не,-гүй / -битгий,नाही,Tidak,Le,Nei,Nee,ਨਹੀਂ,nie,نه,não,Nu,нет,nie,ne,jo,Nej,Hapana,இல்லை,లేదు,ไม่,hindi,Hayır,юк,немає,نہیں,yo'q,không,hayi,不,-nokuba
leash,leiband,رباط,sızmaq,ланцужок,каишка,corretja,řemínek,lesig,snor,Leine,λουρί,leash,Correa,rihm,ale,کمربند,hihna,laisse,Leash.,છૂટાછવાયા કરવી,רצועה,पट्टा,uzica,póráz,շարան,leash.,taumur,guinzaglio,ひも,leash,қиыршық,ಬಾರು,속박,Т,Leash.,pavadas,hinuhinu,поводник,leash,लीश,tali,Leash.,bånd,leiband,ਜਾਲ,smycz,لانش,coleira,Leash.,поводка,leash,povodec,zinxhir,koppel,leash.,தோல்வி,leash.,สายจูง,Leash.,tasma,leash,повідка,لیش,po'stloq,dây xích,ukuvuza,皮带,shiya
them,hulle,معهم,onlara,іх,тях,los,jim,nhw,dem,Ihnen,τους,ilin,ellos,neid,haiek,آنها,niitä,eux,eles,તેમને,אוֹתָם,उन्हें,ih,őket,նրանց,mereka,þau,loro,彼ら,მათ,оларға,ಅವರು,그들을,аларды,juos,viņus,rāua,нив,тэд нар,त्यांना,mereka,them,dem,hen,ਉਹ,ich,دوی,eles,lor,их,ich,njim,ato,dem,wao,அவர்களுக்கு,వాటిని,พวกเขา,sila,onlara,алар,їх,انہیں,ularni,họ,zona,他们,zona
city,Stad,مدينة,şəhər,горад,град,ciutat,město,dinasoedd,City.,Stadt,πόλη,Urbo,ciudad,linn,hiri,شهر,kaupunki,ville,Cidade,શહેર,עִיר,शहर,Grad,város,քաղաք,kota,borg,città,市,ქალაქი,қала,ನಗರ,도시,шаар,miestas,pilsēta,tāone nui,Град,хот,शहर,bandar raya,Belt,by,stad,ਸ਼ਹਿਰ,Miasto,ښار,cidade,oraș,город,mesto,mesto,qytet,stad,Mji,நகரம்,నగరం,เมือง,lungsod,Kent,шәһәр,місто,شہر,shahar,thành phố,isixeko,城市,idolobha
each,elke,كل,hər,кожны,всеки,tots,každý,phob un,hver,jeder,καθε,ĉiu,cada,iga,bakoitz,هر یک,kukin,chaque,cada un,દરેક,כל אחד,प्रत्येक,svaki,minden egyes,յուրաքանչյուրը,setiap,hvert,ogni,各,ყოველი,әркім,ಪ್ರತಿಯೊಂದೂ,각,ар бири,kiekvienas,katrs,ia,Секој,тутам,प्रत्येक,masing-masing,kull wieħed,Hver,elk,ਹਰ,każdy,هر یو,cada,fiecare,каждый,každý,vsak,secili,varje,Kila mmoja,ஒவ்வொரு,ప్రతి ఒక్కరూ,แต่ละ,bawat isa,her biri,һәрберсе,кожний,ہر ایک,har biri,mỗi,nganye,每个,sisinye
speak,praat,تحدث,danışmaq,гаварыць,говоря,parlar,mluvit,hyngan,tale,sprechen,μιλώ,paroli,hablar,rääkima,mintzatu,صحبت,puhua,parlez,Speak.,બોલવું,לְדַבֵּר,बोलना,govoriti,beszél,խոսել,berbicara,tala,parlare,話す,ლაპარაკი,сөйлеу,ಮಾತನಾಡು,말하다,сүйлөө,kalbėti,runāt,kōrero,Зборувај,ярих,बोलू,bercakap,Speak.,snakke,spreken,ਬੋਲੋ,mówić,خبرې کوې,falar,vorbi,разговаривать,hovoriť,govoriti,flas,tala,Sema,பேசு,మాట్లాడు,พูด,Magsalita,konuşmak,сөйләш,розмовляти,بولا,gapirmoq,nói,thetha,说话,khuluma
come,kom,يأتي,gəlmək,прыходзіць,идвам,venir,Přijít,dod,komme,Kommen Sie,Έλα,venu,venir,tulla,etorri,بیا,tulla,viens,vén,આવો,תבואו,आइए,dođi,jön,գալ,datang,koma,venire,来て,მოსვლა,келу,ಕಮ್,오다,кел,ateiti,atnākt,haere,Дојди,ирэх,ये,datang,come.,komme,komen,ਆਉਣਾ,chodź,راځه,venha,Veniți,приходить,prísť,pridi,vij,komma,kuja,வா,రండి,มา,dumating,Gelmek,кил,приходити,آو,keling,đến,yiza,来,woza
should,behoort,يجب,lazım olsa,павінен,Трябва,hauria de,by měl,dylai,bør,sollen,πρέπει,devus,deberían,peaks,behar luke,باید,pitäisi,devrait,debería,હોવું જોઈએ,צריך,चाहिए,trebala bi,kellene,պետք է,Sebaiknya,ætti,Dovrebbe,したほうがいい,უნდა,қажет,ಬೇಕು,~해야한다,керек,turėtų,vajadzētu,me,треба,хэлэх,पाहिजे,sepatutnya,Should.,bør,zou moeten,ਚਾਹੀਦਾ ਹੈ,powinnam,باید,deve,ar trebui să,должен,by mal,naj,duhet,skall,Lazima,வேண்டும்,తప్పనిసరిగా,ควร,dapat,meli,тиеш,малювати,کیا ہونا چاہئے,kerak,Nên,kufuneka,应该,uma
baby,baba,طفل,körpə,немаўля,Бебе,nadó,dítě,fabi,baby.,Baby,μωρό,bebo,bebé,laps,umea,عزیزم,vauva,de bébé,Baby.,બાળક,תִינוֹק,शिशु,dijete,baba,երեխա,bayi,elskan,bambino,赤ちゃん,ბავშვი,нәресте,ಮಗು,아기,наристе,kūdikis,bērns,pēpi,бебе,нялх хүүхэд,बाळ,bayi,Baby.,baby,baby,ਬੇਬੀ,niemowlę,ماشومه,bebê,bebelus,младенец,baby,baby.,foshnje,bebis,mtoto,குழந்தை,శిశువు,ที่รัก,sanggol,bebek,балам,дитина,بچه,chaqaloq,đứa bé,umntwana,婴儿,ingane
long time,lang tyd,منذ وقت طويل,uzun müddət,доўгі час,дълго време,llarg temps,dlouho,amser hir,lang tid,lange Zeit,πολύς καιρός,longa tempo,largo tiempo,kaua aega,Denbora luze,مدت زمان طولانی,pitkä aika,longue durée,Moito tempo,"ઘણા સમયથી, લાંબા સમયથી",הרבה זמן,लंबे समय तक,Dugo vrijeme,hosszú idő,երկար ժամանակ,lama,langur tími,a lungo,長い時間,დიდი დრო,ұзақ уақыт,ದೀರ್ಘಕಾಲ,장기,узак убакыт,ilgas laikas,ilgu laiku,Te wa roa,долго време,урт цаг,जास्त वेळ,lama masa,żmien twil,lang tid,lange tijd,ਲੰਬਾ ਸਮਾ,długi czas,اوږده موده,muito tempo,perioadă lungă de timp,много времени,dlho,dolgo časa,kohe e gjate,länge sedan,muda mrefu,நீண்ட நேரம்,దీర్ఘకాలం,เวลานาน,matagal na panahon,uzun zaman,Озак,довгий час,طویل وقت,uzoq vaqt,thời gian dài,ixesha elide,很久,isikhathi eside
hours,ure,ساعات,sair,гадзін,часа,hores,hodiny,oriau,timer,Std,ώρες,horoj,horas,tunde,ordire ordu,ساعت ها,tunteja,les heures,Horas,કલાક,שעה (ות,घंटे,sati,órák,ժամեր,jam,klukkustundir,ore,時間,საათი,сағат,ಗಂಟೆಗಳು,시간,саат,valandos,stundas,Haora haora,часови,цаг,तास,Jam,sigħat,timer,uren,ਘੰਟੇ,godziny,ساعتونه,horas,Ores.,часы,hodina,ure,orë,himmar,Masaa.,மணி நேரம்,గంటలు,ชั่วโมง,oras,saatler,сәгатьләр,годинник,گھنٹے,soat,giờ,iiyure,小时,amahora
will,testament,إرادة,iradə,жаданне,ще,voluntat,vůle,ewyllysiodd,vilje,Wille,θα,volo,será,tahe,nahimen,اراده,tahtoa,sera,Will,ઇચ્છા,רָצוֹן,मर्जी,htjeti,akarat,կուտակել,akan,Will.,volere,意思,სურვილი,өсиет,ವಿಲ್,~ 할 것이다,болот,Valia,gribas,ngākau,волја,дур хүсэл,होईल,akan,Will.,vil,zullen,ਕਰੇਗਾ,Wola,به,vai,voi,будет,čím,volja,do,kommer,mapenzi,விருப்பம்,విల్,จะ,Will,niyet,булачак,воля,کیا,iroda,sẽ,iya,将要,isifiso
while,terwyl,في حين,isə,пакуль,докато,mentre,zatímco,tra,mens,während,ενώ,dum,mientras,samas,une,در حالی که,sillä aikaa,tandis que,while.,જ્યારે,בזמן,जबकि,dok,míg,մինչդեռ,ketika,á meðan,mentre,その間,პერიოდი,сол екі арада,ಹಾಗೆಯೇ,동안,ал эми,Nors. \ T,kamēr,inā,додека,хооронд,करताना,sementara,WICT.,samtidig som,terwijl,ਜਦਕਿ,dopóki,پداسې حال کې چې,enquanto,in timp ce,пока,zatiaľ čo,medtem,derisa,medan,wakati,போது,అయితే,ในขณะที่,habang,sırasında,шул вакытта,поки,جبکہ,vaqt,trong khi,ngelixa,尽管,lapho
meet again,weer ontmoet,التقي مرة أخرى,yenidən görüşmək,зноў сустрэцца,се срещат отново,es reuneix de nou,potkat se znovu,cyfarfod eto,mødes igen,Wiedersehen,ξανασυναντώ,Renkontu denove,reunirse de nuevo,kohtume jälle,berriro elkartu,دیدار مجدد,tavata uudelleen,revoir,Reúnese de novo,ફરી મળીએ,נפגש שוב,फिर मिलेंगे,ponovno se sastaju,újra találkozni,կրկին հանդիպել,bertemu lagi,hittast aftur,rincontrarsi,また会いました,კვლავ შეხვდებით,қайтадан кездесіңіз,ಮತ್ತೆ ಭೇಟಿ,다시 만나다,кайрадан жолугуу,Susitikite dar kartą,atkal satikties,tutaki ano,повторна средба,дахин дахин үзнэ үү,पुन्हा भेटा,jumpa lagi,Iltaqa 'mill-ġdid,møtes igjen,weer ontmoeten,ਦੁਬਾਰਾ ਮਿਲੋ,spotkają się ponownie,بیا سره ووتل,encontrar de novo,a intalni din nou,Встретимся снова,opäť sa stretnúť,ponovno srečanje,takohemi sërish,mötas igen,kukutana tena,மீண்டும் சந்திக்கவும்,మళ్ళీ కలిసే,พบกันอีกครั้ง,magkitang muli,yeniden buluşmak,кабат очраш,зустрінемось знову,دوبارہ ملیں,yana uchrashing,gặp lại,dibana kwakhona,再次见面,hlangana futhi
any,enige,أي,hər hansı,нейкі,. \ t,cap,žádný,unrhyw un,nogen,beliebig,όποιος,Ajna,ningún,mis tahes,baten bat,هر چیزی,minkä tahansa,quelconque,calquera,કોઈ પણ,כל,कोई,sve,Bármi,ոչ մի,setiap,Einhver,qualunque,どれか,რომელიმე,іркім,ಯಾವುದಾದರು,어느,ар кандай,Bet koks,jebkurš,tētahi,било кој,аль ч,काहीही,mana-mana,Kwalunkwe,noen,ieder,ਕੋਈ ਵੀ,każdy,هر یو,qualquer,orice,любой,akýkoľvek,kaj,çdo,några,Yoyote,எது,ఏదైనా,ใด ๆ,sinuman,herhangi,теләсә нинди,будь-який,کوئی,har qanday,bất kì,Nantoni na,任何,-ma yini
square,plein,ميدان,kvadrat,плошча,квадрат,quadrat,náměstí,sgwâr,firkant,Platz,τετράγωνο,kvadrato,cuadrado,ruut,karratu,مربع,neliö-,carré,Praza,ચોરસ,כיכר,वर्ग,kvadrat,négyzet,քառակուսի,kotak,fermetra.,quadrato,平方,კვადრატი,шаршы,ಚದರ,정사각형,чарчы,Square.,kvadrāts,marae,Плоши,дөрвөлжин,स्क्वेअर,persegi,Pjazza,torget,vierkant,ਵਰਗ,kwadrat,مربع,quadrado,pătrat,квадратный,námestie,Square.,shesh,fyrkant,mraba,சதுக்கம்,స్క్వేర్,สี่เหลี่ยม,parisukat,Meydan,квадрат,площа,مربع,kvadrat,Quảng trường,isikwere,正方形,igceke
speak,praat,تحدث,danışmaq,гаварыць,говоря,parlar,mluvit,hyngan,tale,sprechen,μιλώ,paroli,hablar,rääkima,mintzatu,صحبت,puhua,parlez,Speak.,બોલવું,לְדַבֵּר,बोलना,govoriti,beszél,խոսել,berbicara,tala,parlare,話す,ლაპარაკი,сөйлеу,ಮಾತನಾಡು,말하다,сүйлөө,kalbėti,runāt,kōrero,Зборувај,ярих,बोलू,bercakap,Speak.,snakke,spreken,ਬੋਲੋ,mówić,خبرې کوې,falar,vorbi,разговаривать,hovoriť,govoriti,flas,tala,Sema,பேசு,మాట్లాడు,พูด,Magsalita,konuşmak,сөйләш,розмовляти,بولا,gapirmoq,nói,thetha,说话,khuluma
