English,Afrikaans,Arabic,Latin,Belarusian,Bulgarian,Catalan,Czech,Welsh,Danish,German,Greek,Esperanto,Spanish,Estonian,Basque,Farsi,Finnish,French,Galician,Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian,Japanese,Georgian,Kazakh,Kannada,Korean,Kyrgyz,Lithuanian,Latvian,Maori,FYRO Macedonian,Mongolian,Marathi,Malay,Maltese,Norwegian,Dutch,Punjabi,Polish,Pashto,Portuguese,Romanian,Russian,Slovak,Slovenian,Albanian,Swedish,Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Tatar,Ukrainian,Urdu,Syriac,Vietnamese,Xhosa,Chinese,Zulu
understood,verstaan,فهم,başa düşdüyü,зразумелы,разбрах,entès,pochopený,nealltwriaeth,forstået.,verstanden,κατανοητός,Komprenita,comprendido,arusaadav,ulertu,فهمید,ymmärsi,compris,comprendido,સમજી શકાય તેવું,מובן,समझा,razumjeti,megértett,հասկանալի,dipahami,skilið,inteso,了解した,მიხვდა,түсінді,ಅರ್ಥೈಸಲಾಗಿದೆ,이해했다,түшүнүктүү,Supratau,saprotams,i mohio,разбран,ойлгосон,समजले,faham,mifhum,forstått,begrepen,ਸਮਝਿਆ,zrozumiany,پوهیدل,Entendido,înțeles,понял,pochopiť,razumel,i kuptuar,förstått,kuelewa,புரிந்துகொள்ளுங்கள்,అర్థం చేసుకోలేదు,เข้าใจ,naiintindihan,anlaşıldı,аңлады,зрозумілий,سمجھا,tushunarsiz,hiểu,iqonde,理解,-silele
knew,geweet,عرف,bilən,вед ведаў,Знаех,definia,věděl,hadnabu'n,vidste,wusste,γνώριζα,sciis,supo,teadma,jati,می دانند,tiesi,a connu,sabía,જાણવું,ידע,जानता था,znao,tudta,գիտեր,tahu,vissi.,sapevo,知り合わせる,იცოდა,қайнату,ಅರಿವು,알았다,билген,žinojau,zināja,i matau,Знаеше,тохиролцох,माहित आहे,tahu,kien jaf,visste det,wist,ਪਤਾ ਸੀ,wiedział,پوهیدل,sabia,S-au cunoscut,знал,vedel,vedel,e dinte,visste,alijua,அறிந்தேன்,తెలుసు,รู้,alam,tanımak,белә иде,знав,جانتا تھا,biladigan,biết,ndazi,kn,babazazile
were,was,كانوا,var idi,быў,бяха,hi havia,byl,oedd,var,war,ήταν,estis,fueron,olid,zeuden ziren,بود,olivat,étaient,foron,હતા,היו,थे,bili,voltak,էին,adalah,voru,erano,そうだった,იყო,себпеік,ಇದ್ದರು,~이었다,болгон,buvo,bija,i,беа,байсан,होते,adalah,kienu,var.,waren,ਸਨ,byli,ول,estavam,au fost,мы,boli,bilo,ishin,var,walikuwa,இருந்தன,ఉన్నాయి,คือ,ay,idi,булган,були,تھے,edi,đã,babekhona,是,bekwakhona
Warning,Waarskuwing,تحذير,Xəbərdarlıq,Папярэджанне,Внимание,Advertència,Varování,Rhybudd,Advarsel,Warnung,Προειδοποίηση,Averto,Advertencia,Hoiatus,Gaztigu,هشدار,Varoitus,Avertissement,Aviso,ચેતવણી,אַזהָרָה,चेतावनी,Upozorenje,Figyelem,Նախազգուշացում,Peringatan,Viðvörun,Avvertimento,警告,გაფრთხილება,Ескерту,ಎಚ್ಚರಿಕೆ,경고,Эскертүү,ĮSPĖJIMAS,Brīdinājums,Kupu tūpato,ПРЕДУПРЕДУВАЊЕ,Анхааруулга,चेतावणी,Amaran,Twissija,Advarsel,Waarschuwing,ਚੇਤਾਵਨੀ,Ostrzeżenie,خبرتیا,Aviso,Avertizare,Предупреждение,Pozor,Opozorilo,Paralajmërim,Varning,Onyo.,எச்சரிக்கை,హెచ్చరిక,คำเตือน,Babala,Uyarı,Кисәтү,Увага,انتباہ,Ogohlantirish,Cảnh báo,Isilumkiso,警告,Isiyalo
here is,hier is,هنا,Budur,тут,Ето го,aquí està,tady je,Dyma,her er,hier ist,εδώ είναι,Jen,aquí está,siin on,Hemen da,در اینجا این است,täällä on,Voici,aquí está,અહીં છે,הנה,यहाँ है,ovdje je,itt van,Ահա,disini adalah,hér er,qui è,ここは,აქ არის,мұнда,ಇಲ್ಲಿದೆ,여기에 있습니다,Мына,čia yra,šeit ir,Anei,овде е,энд байна,येथे आहे,di sini,hawn hu,her er,hier is,ਇਹ ਹੈ,tutaj jest,دلته دی,aqui está,aici este,Вот,tu je,tukaj je,ketu eshte,här är,Hapa ni,இங்கே உள்ளது,ఇక్కడ,ที่นี่คือ,Narito,burada,монда,ось,یہاں ہے,shu yerda,đây là,Nantsi,这是,nansi
could,kan,يستطع,ala-seyrək,мог,бих могъл,podia,mohl,a allai,kunne,könnten,θα μπορούσε,povus,pudo,võiks,jokalari gabe,میتوانست,voisi,pouvait,podería,શકવું,הָיָה יָכוֹל,सकता है,mogli,tudott,կարող էր,bisa,Gat,Potevo,できる,რამეთ,шамасы келу,ಸಾಧ್ಯವೋ,~ 할 수 있었다,алмак,galėjo,varēja,i taea,Може,чадах,शक्य आहे,boleh,jista ',kunne,zou kunnen,ਕਰ ਸਕਦਾ ਸੀ,mógłby,کولای شي,poderia,ar putea,мог,bystrý,lahko,mund,skulle kunna,inaweza,முடியும்,కాలేదు,สามารถ,maaari,abilir,мөмкин,могло,کر سکتے تھے,mumkin,có thể,ingaba,可以,-noku
case,kis,قضية,xasiyyət,справа,дело,Caixa,případ,achos,sag,Fall,υπόθεση,Kazo,caso,juhtum,kutxatila,مورد,kotelo,Cas,Caso,કેસ,מקרה,मामला,slučaj,ügy,գործ,kasus,Málið,Astuccio,場合,საქმე,чемодан,ಪ್ರಕರಣ,사례,иш,CASE.,lieta,kēhi,Случај,хэрэг,केस,Kes,Każ,sak,geval,ਕੇਸ,Obudowa,قضیه,caso,caz,кейс,puzdro,Ovitek,rast,fall,kesi,வழக்கு,కేసు,กรณี,Kaso,dava,очрак,випадок,معاملہ,ish,trường hợp,ityala,案件,icala
give,gee,يعطى,vermək,даваць,давам,donar,dát,rho,give,Gib mal,δίνω,donu,dar,andma,eman,دادن,antaa,donner,dar,આપવું,לָתֵת,देना,dati,adni,տալ,memberi,gefa,dare,与える,მიცემა,беру,ಕೊಡು,주다,берүү,Duok,dot,hoatu,Дај,өгөх,द्या,memberi,Agħti,gi,geven,ਦਿਓ,dawać,ورکول,dar,da,давать,dať,da,jap,ge,kutoa,கொடு,ఇవ్వండి,ให้,bigyan,vermek,бир,давати,دے دو,bermoq,cho,nika,给,khangeza
type,tipe,نوع,tip,друкаваць,Тип,escriure a màquina,typ,teipiwch,type,Typ,τύπος,tajpu,escribe,tüüp,tipo,نوع,tyyppi,taper,Tipo.,પ્રકાર,סוּג,प्रकार,tip,típus,տիպ,Tipe,tegund,genere,タイプ,ბეჭდვა,басу,ಮಾದರಿ,유형,түрү,Tipas. \ T,veids,tuhinga,Тип,маяг,प्रकार,type.,Tip,type,type,ਕਿਸਮ,rodzaj,ډول,modelo,tip,тип,typ,Tip.,tip,typ,Andika,வகை,రకం,พิมพ์,type.,tip,тип,тип,قسم,tur,loại,uhlobo,类型,ukuthayipha
their,hulle,هم,özləri,іх,техен,seva,jejich,eu,deres,ihr,δικα τους,ilia,su,nende,beraien,خودشان,heidän,leur,o seu,તેમના,שֶׁלָהֶם,उनका,njihov,a sajátjukat,նրանց,milik mereka,þeirra,i loro,彼らの,მათი,олардікі,ಅವರ,그들의,алардын,Jų,viņu,ā rātau,нивно,тэдний,त्यांचे,mereka,tagħhom,deres,hun,ਉਨ੍ਹਾਂ ਦਾ,ich,د هغوی,seus,al lor,их,ich,Njihov,e tyre,deras,wao,அவர்களது,వారి,ของพวกเขา,kanilang,onların,Алар,їх,ان کا,ularning,của chúng,babo,他们的,-abo
given,gegonder,معطى,verilmiş,улічваючы,даден,donat,dávka,rhodd,givet,gegeben,δεδομένος,donita,dado,antud,emana,داده شده,annettu,donné,Dado,આપેલ,נָתוּן,दिया गया,dano,adott,տրված,diberikan,gefið,dato,与えた,მოცემული,берілген,ನೀಡಿದ,주어진,берилген,Atsižvelgiant,dots,hoatu,Дадено,өгсөн,दिलेला,diberikan,mogħtija,gitt.,gegeven,ਦਿੱਤਾ ਗਿਆ,dany,ورکړل شوی,dado,dat,данный,daný,Glede na to,i dhënë,given,Kutolewa,கொடுக்கப்பட்ட,ఇచ్చిన,ที่ให้ไว้,ibinigay,verilen,бирелгән,даний,دیا گیا,berilgan,được,inikiwe,给予,-Sebenza
train,afrig,يدرب,qatarlanmaq,цягнік,влак,tren,vlak,thrên,tog,Zug,τρένο,Trajno,tren,rong,trebatu,قطار - تعلیم دادن,kouluttaa,former,tren.,ટ્રેન,רכבת,रेल गाडी,vlak,vonat,գնացք,kereta,Þjálfa,treno,列車,მატარებელი,пойыз,ರೈಲು,기차,поезд,traukinys,vilciens,tereina,Обука,галт тэрэг,ट्रेन,melatih,Train,tog,trein,ਟ੍ਰੇਨ,pociąg,روزنه,Comboio,tren,тренироваться,vlak,vlak,tren,tåg,Treni,தொடர்வண்டி,రైలు,รถไฟ,tren.,tren,поезд,потяг,ٹرین,poezd,xe lửa,uloliwe,火车,qeqesha
body,liggaam,الجسم,bədən,цела,тяло,cos,tělo,gorff,legeme,Karosserie,σώμα,Korpo,cuerpo,kere,gorputz,بدن,runko,corps,Corpo,શરીર,גוּף,तन,tijelo,test,մարմին,tubuh,líkami,corpo,体,სხეული,дене,ದೇಹ,몸,орган,kūnas,korpuss,tinana,тело,биеийн,शरीर,badan,ġisem,kropp,lichaam,ਸਰੀਰ,ciało,بدن,corpo,corp,тело,telo,Body.,trup,kropp,Mwili.,உடல்,శరీరం,ร่างกาย,katawan,gövde,тән,тіло,جسم,tana,phần thân,umzimba,身体,umzimba
place,plaas,مكان,yer,месца,място,col·locar,místo,rho,placere,Ort,θέση,Loko,lugar,koht,leku,محل,paikka,lieu,lugar,સ્થળ,מקום,जगह,mjesto,hely,տեղ,tempat,staður,luogo,場所,ადგილი,орын,ಸ್ಥಳ,장소,жер,vieta. \ T,vieta,tāpae,Место,байрлуулах,जागा,tempat,Poġġi,sted,plaats,ਜਗ੍ਹਾ,miejsce,ځای کيدل,"Lugar, colocar",loc,место,miesto,Kraj,vend,plats,mahali,இடம்,స్థలం,สถานที่,lugar,yer,урын,місце,جگہ,joy,địa điểm,indawo,地方,beka
eyes,oë,عيون,gözlər,вочкі,Очи,ulls,očima,lygaid,øjne,Augen,μάτια,okuloj,ojos,silmad,begiak,چشم ها,silmät,les yeux,Eyes.,આંખો,עיניים,आंखें,oči,szemek,աչք,mata,augu,occhi,目,თვალები,көздер,ಕಣ್ಣು,눈,көз,akys,acis,kanohi,очите,нүднүүд,डोळे,mata,għajnejn,øyne,ogen,ਅੱਖਾਂ,oczy,سترګې,olhos,ochi,глаза,oči,oči,sytë,ögon,macho,கண்கள்,కళ్ళు,ดวงตา,mata,gözler,күзләр,очей,آنکھیں,ko'zlar,mắt,Amehlo,eyes,isizukulwane
way,pad,طريق,yol,шлях,начин,camí,cesta,ngweithred,vej,Weg,τρόπος,Vojo,camino,tee,bide,مسیر,tapa,chemin,Way.,માર્ગ,דֶרֶך,मार्ग,put,út,ճանապարհ,jalan,vegur,modo,仕方,გზა,тәсіл,ದಾರಿ,방법,жол,būdas,veids,arā,начин,арга зам,मार्ग,cara,Way,vei,manier,ਤਰੀਕਾ,sposób,لاره,caminho,cale,способ,cesta,pot,rrugë,sätt,Way.,வழி,మార్గం,ทาง,paraan,yol,юл,спосіб,راستہ,yo'l,đường,indlela,大大地,indlela
listen,luister,يستمع,dinləmək,слухаць,слушам,escoltar,poslouchat,wrandawiff,Lyt,Hör mal zu,ακούω,Aŭskultu,escucha,kuulama,entzun,گوش کن,kuunnella,Ecoutez,Escoitar,સાંભળવું,להקשיב,सुनना,slušati,hallgat,լսել,mendengarkan,hlusta,Ascoltare,聞く,მოსმენა,тыңдау,ಕೇಳು,듣다,Ук,Klausykitės,klausīties,whakarongo,Слушајте,сонс,ऐका,mendengar,Isma ',lytte,luister,ਸੁਣੋ,słuchać,واوره,ouço,asculta,Слушать,počúvať,poslušaj,dëgjoj,lyssna,Sikiliza,கேளுங்கள்,వినండి,ฟัง,makinig,dinlemek,тыңла,слухати,بات چیت,tinglamoq,nghe,mamela,听,beka indlebe
whose,van wie,ملك من,kiminsə,чый,чийто,de qui,jehož,pwy,hvis,deren,του οποίου,Kies,cuyo,kelle,Zeinen,چه کسی,jonka,à qui,Cuxo,કોનું,של מי,किसका,čiji,akinek,ում,yang,hvers,"il cui, di chi",だれの,ვისი,кімдікі,ಯಾರ,그 사람,анын,Kuris. \ T,kura,nāa wai,чиј,хэний,कोणाचे,siapa,li,hvem sin,van wie,ਜਿਸਦੀ,którego,دوان,cujo,a caror,чей,ktorého,čigar,të cilit,vars,ambaye,யாருடைய,ఎవరి,ของใคร,Kaninong,kimin,Кем,чий,جس کی,kimning,ai,nobani,谁的,-kabani
find,vind,تجد,tapmaq,знаходзіць,намирам,trobar,nalézt,ddarganfyddan,finde,finden,εύρημα,trovu,encontrar,leidma,aurkitu,پیدا کردن,löytö,trouver,Find,શોધો,למצוא,पाना,pronaći,megtalálja,գտնել,Temukan,Finna,trovare,探す,პოვნა,табу,ತಿಳಿಸು,찾기,табуу,Rasti.,atrast,kite,најдете,илрүүлэх,शोधणे,cari,Sib,finne,vinden,ਲੱਭੋ,znajdować,ومومئ,achar,găsi,найти,Nájsť,najti,Gjej,hitta,Tafuta,கண்டுபிடிக்க,కనుగొను,หา,hanapin,bulmak,табу,знаходження,مل,topmoq,tìm thấy,fumana,寻找,fumana
first,eerste,أول,birinci,першы,Първо,primer,za prvé,yn gyntaf,først,Erste,πρώτα,Unue,primero,esimene,lehenengo,اولین,ensimmäinen,première,primeira,પ્રથમ,ראשון,प्रथम,prvi,első,առաջին,pertama,fyrsta,primo,初め,პირველი,бірінші,ಪ್ರಥಮ,첫 번째,алгачкы,Pirmas,pirmais,tuatahi,Прво,хамгийн түрүүнд,पहिला,pertama,Firsta,først,eerst,ਪਹਿਲਾਂ,pierwszy,لومړی,primeiro,primul,первый,najprv,najprej,së pari,först,Kwanza,முதல்,ప్రధమ,แรก,una,ilk,беренче,перший,پہلا,avval,đầu tiên,Ekuqaleni,第一的,-yinhloko
lost,verlore,ضائع,məğlubedici,згублены,изгубен,perduda,ztracený,golled,faret vild,verloren,χαμένος,perdita,perdió,kadunud,galdua,کم شده,kadonnut,perdu,Lost.,લોસ્ટ,אָבֵד,खोया हुआ,izgubljen,elveszett,կորած,hilang,tapast,perduto,失った,დაკარგული,жоғалған,ಲಾಸ್ಟ್,잃어버린,жоголгон,prarastas,zaudēts,kua ngaro,изгубени,алдсан,गमावले,hilang,Mitluf,tapt,kwijt,ਗੁੰਮ ਗਿਆ,Stracony,ورک شوی,perdido,pierdut,потерял,stratený,izgubljen,i humbur,förlorat,potea,இழந்தது,కోల్పోయిన,สูญหาย,nawala,kayıp,югалды,загублений,کھو دیا,yo'qolgan,mất đi,ilahlekile,丢失,-swelekile
hand,hand,كف,əl,рука,ръка,mà,ruka,llaw,hånd,Hand,χέρι,mano,mano,käsi,esku,دست,käsi,main,man.,હાથ,יד,हाथ,ruka,kéz,ձեռագիր,tangan,hönd,mano,手,ხელი,қол,ಕೈ,손,кол,Rankų. \ T,roka,ringa,рака,гар,हात,tangan,idejn,hånd,hand,ਹੱਥ,ręka,لاس,mão,mână,рука,ruka,roka,dorëzoj,hand,mkono,கை,చెయ్యి,มือ,kamay,el,кул,ручний,ہاتھ,qo'llamoq,tay,isandla,手,isandla
first,eerste,أول,birinci,першы,Първо,primer,za prvé,yn gyntaf,først,Erste,πρώτα,Unue,primero,esimene,lehenengo,اولین,ensimmäinen,première,primeira,પ્રથમ,ראשון,प्रथम,prvi,első,առաջին,pertama,fyrsta,primo,初め,პირველი,бірінші,ಪ್ರಥಮ,첫 번째,алгачкы,Pirmas,pirmais,tuatahi,Прво,хамгийн түрүүнд,पहिला,pertama,Firsta,først,eerst,ਪਹਿਲਾਂ,pierwszy,لومړی,primeiro,primul,первый,najprv,najprej,së pari,först,Kwanza,முதல்,ప్రధమ,แรก,una,ilk,беренче,перший,پہلا,avval,đầu tiên,Ekuqaleni,第一的,-yinhloko
side,sy,الجانب,yan,бок,страничен,costa,boční,ochr,side,Seite,πλευρά,Flanko,lado,pool,alde,سمت,puoli,côté,lado,બાજુ,צַד,पक्ष,strana,oldal,կող,samping,hlið,lato,側,გვერდი,жақ,ಬದಿ,옆,жагы,pusė. \ T,puse,taha,страна,тал,बाजू,sebelah,Side.,side,kant,ਪਾਸੇ,bok,اړخ,lateral,latură,боковая сторона,bok,Stran,anë,sida,upande,பக்க,వైపు,ด้านข้าง,gilid,taraf,ягы,сторона,طرف,tomon,cạnh,icala,边,usebe
power,mag,قوة,güc,моц,власт,força,Napájení,pŵer,strøm,Energie,εξουσία,Potenco,energía,võimsus,botere,قدرت,voima,Puissance,Poder,શક્તિ,כּוֹחַ,शक्ति,vlast,erő,ուժ,kekuatan,máttur,potenza,パワー,ძალა,күш,ಅಧಿಕಾರ,힘,күч,galia,jauda,kaha,Моќност,хүч чадал,शक्ती,kuasa,Power.,makt,stroom,ਤਾਕਤ,moc,ځواک,potência,putere,сила,moc,Power.,fuqi,kraft,Nguvu.,பவர்,శక్తి,พลัง,kapangyarihan,güç,көч,потужність,پاور,kuch,sức mạnh,amandla,力量,ubuqhwaga
old,ou,عمر او قديم,köhnə,стары,стар,vell,starý,hen,gammel,alt,παλαιός,malnova,viejo,vana,zahar,قدیمی,vanha,vieille,Old.,જૂનું,ישן,पुराना,star,régi,հին,tua,gamall,vecchio,年,მოხუცი,ескі,ಹಳೆಯ,낡은,Эски,senas,vecs,tawhito,стар,хөгшин,जुन्या,tua,Qadim,gammel,oud,ਪੁਰਾਣਾ,stary,زوړ,velho,vechi,Старый,starý,star,i vjetruar,gammal,Old.,பழைய,పాతది,เก่า,lumang.,eskimiş,карт,старий,پرانا,eski,cũ,mdala,老的,-dala
be,wees,يكون,olmaq,быць,бъда,estar,být,fydd,være,Sein,είναι,esti,ser,olema,izan,بودن,olla,être,Be.,હોવું,לִהיוֹת,होना,biti,lenni,լինել,menjadi,vera,essere,なれ,ყოფნა,болуы,ಇರು,be,бол,BE.,būt,ora,Биди,байх болох,व्हा,akan,be.,være,zijn,ਹੋ,być,اوسه,ser,fi,быть,byť,BE.,jam,vara,BE,இரு,be,เป็น,maging,olmak,бул,бути,ہو,bo'lmoq,thì là ở,yiba,是,yiba
here,hier,هنا,bura,тут,тук,aquí,tady,Yma,her,Hier,εδώ,Ĉi tie,aquí,siin,asko,اینجا,tässä,ici,aquí,અહીં,כאן,यहां,ovdje,itt,այստեղ,di sini,hér,qui,ここ,აქ,Мұнда,ಇಲ್ಲಿ,여기,бул жерде,čia,šeit,konei,Овде,энэ,येथे,di sini,Hawnhekk,her,hier,ਇਥੇ,tutaj,دلته,aqui,Aici,здесь,tu,tukaj,këtu,här,hapa,இங்கே,ఇక్కడ,ที่นี่,dito,burada,Монда,тут,یہاں,Bu yerga,nơi đây,Apha,这里,lapha
morning,oggend,صباح,səhər,ранак,сутрин,matí,ráno,fore,morgen,Morgen,πρωί,mateno,Mañana,hommik,goiz,صبح,aamu,Matin,Mañá,મોર્નિંગ,בוקר,प्रभात,jutro,reggel,առավոտ,pagi,morgunn,mattina,朝,დილა,таң,ಬೆಳಗ್ಗೆ,아침,эртең менен,Rytas,no rīta,āta,утро,өглөө,सकाळी,Pagi,Morning,morgen,ochtend,ਸਵੇਰ,rano,سهار,manhã,dimineaţă,утро,ranný,zjutraj,në mëngjes,morgon-,asubuhi,காலை,ఉదయం,เช้า,umaga,sabah,таң,ранок,صبح,ertalab,buổi sáng,ntseni,早晨,ekuseni
so much,so baie,كثيرا,bu qədər,так шмат,толкова много,Tant,tak moc,cymaint,så meget,so viel,τόσο πολύ,tiom,mucho,nii palju,asko,خیلی زیاد,niin paljon,tellement de,tanto,ઘણુ બધુ,כל כך,बहुत ज्यादा,tako puno,olyan sok,այնքան,sekali,svo mikið,tanto,そんなに,ძალიან,өте қатты,ತುಂಬಾ,너무 많이,көп,Tiek daug,tik daudz,nui rawa,многу,маш их,खुप जास्त,begitu banyak,Allura ħafna,så mye,zo veel,ਬਹੁਤ ਜ਼ਿਆਦਾ,tak wiele,ډیر زیاد,muito,atâta,так много,tak veľa,zelo,kaq shume,så mycket,Wengi,மிகவும்,చాలా,มากมาย,sobra,bu kadar,шулкадәр,Так багато,بہت زیادہ,juda ko'p,rất nhiều,kakhulu,非常,kakhulu
child,kind,طفل,övlad,дзіця,дете,nen,dítě,phlentyn,barn,Kind,παιδί,infano,niño,laps,ume,کودک,lapsi,enfant,NIÑO.,બાળક,יֶלֶד,बच्चा,dijete,gyermek,երեխա,anak,barn,bambino,子,ბავშვი,бөбек,ಮಗು,아이,бала,Vaikas. \ T,bērns,tamaiti,Детето,хүүхэд,मूल,kanak-kanak,Child.,barn,kind,ਬੱਚਾ,dziecko,ماشوم,filho,copil,ребенок,dieťaťa,otrok,fëmijë,barn,mtoto,குழந்தை,చైల్డ్,เด็ก,bata,çocuk,бала,дитина,بچہ,bola,đứa trẻ,umntwana,孩子,ingane
point,punt,هدف,fəhm,момант,точка,punt,směřovat,bwyntiau,punkt,Punkt,σημείο,punkto,punto,punkt,une,نقطه,kohta,point,Punto,બિંદુ,נְקוּדָה,बिंदु,točka,pont,կետ,titik,punktur,punto,点,პუნქტი,ұпай,ಪಾಯಿಂಟ್,가리키다,чекит,taškas,punkts,māka,Точка,цэг,पॉइंट,titik,punt,punkt,punt,ਬਿੰਦੂ,punkt,ټکی,ponto,punct,точка,bod,točka,pikë,punkt,hatua,புள்ளி,పాయింట్,จุด,punto,nokta,нокта,точка,پوائنٹ,nuqta,điểm,inqaku,观点,khomba
came,gekom,أتى,qalıcı,прыйшоў,дошла,vingut,přišel,ddaethon,kom,kam,ήρθε,venis,llegó,tuli,etorri zen,آمد,tuli,venu,veu,આવ્યા,ב בא,आया,došlo,jött,եկավ,telah datang,kom,è venuto,came,მოვიდა,келді,ಬಂದೆ,왔다,келген,atėjo,atnāca,i haere mai,Дојде,ирсэн байна,आले,datang,daħal,kom,kwam,ਆਇਆ,przyszło,راغلی,veio,a venit,пришел,prišiel,prišel,erdhi,kom,alikuja,வந்தது,వచ్చింది,มา,dumating,gelmek,килеп җитте,прийшов,آیا,keldilar,đã đến,yeza,来了,weza
after,na,بعد,ardınca,пасля,след,després de,po,ar ôl,efter,nach,μετά,Poste,después,pärast,-ren ondoren,بعد از,jälkeen,après,Despois,પછી,לאחר,बाद में,nakon,utána,հետո,setelah,eftir,dopo,後,შემდეგ,кейін,ನಂತರ,~ 후에,кийин,Po. \ T,pēc,i muri,После,дараа нь,नंतर,selepas itu,wara,etter,na,ਬਾਅਦ,po,وروسته,depois de,după,после,po,Po tem,pas,efter,Baadaye,பின்,తర్వాత,หลังจาก,pagkatapos,sonrasında,Соңыннан,після,کے بعد,keyin,sau,emva,后,kamuva
sorry,jammer,آسف,bağışlayın,шкадаванне,съжалявам,ho sento,Promiňte,flin,undskyld,Verzeihung,συγνώμη,Pardonu,lo siento,kahju,barkatu,متاسف,pahoillani,Pardon,Sentímolo,માફ કરશો,מצטער,माफ़ करना,Oprosti,sajnálom,ներողություն,maaf,því miður,scusate,ごめん,ბოდიში,кешіріңіз,ಕ್ಷಮಿಸಿ,죄송합니다,Кечириңиз,Atsiprašau,žēl,rongo,жал,уучлаарай,माफ करा,maaf,sorry,Beklager,Sorry,ਮਾਫ ਕਰਨਾ,przepraszam,بخښنه,Desculpe,Îmi pare rău,Извините,Prepáč,Oprosti,më vjen keq,förlåt,sorry.,மன்னிக்கவும்,క్షమించాలి,ขอโทษ,paumanhin,üzgünüm,гафу итегез,вибачливий,افسوس,uzr,lấy làm tiếc,uxolo,对不起,xolela
